ImageId,EncodedPixels
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,52230 8 52485 10 52740 13 52995 15 53250 16 53506 16 53761 17 54017 18 54273 18 54529 18 54785 18 55041 17 55297 16 55553 15 55809 11 56065 10 56321 10 56577 11 56833 12 57089 13 57345 13 57601 13 57857 13 58113 13 58369 13 58625 12 58881 11 59137 10 59393 10 59649 10 59905 10 60161 9 60417 9 60673 8 60930 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42002 3 42253 10 42508 14 42762 18 43017 20 43273 21 43528 22 43784 22 44039 23 44295 24 44550 25 44806 25 45061 27 45317 27 45572 28 45828 29 46084 29 46340 29 46597 27 46853 27 47110 26 47366 28 47623 28 47879 30 48136 30 48178 8 48393 30 48432 13 48649 30 48686 18 48906 30 48937 2 48940 21 49164 54 49422 53 49680 51 49938 49 50195 48 50451 48 50707 47 50963 47 51219 48 51476 20 51498 25 51732 18 51754 25 51989 16 52011 24 52245 15 52267 26 52502 13 52524 26 52759 9 52781 26 53017 4 53037 26 53294 26 53551 26 53809 24 54067 23 54328 18 54585 18 54841 18 55098 18 55354 18 55610 19 55866 19 56122 19 56378 19 56634 19 56890 19 57146 20 57402 20 57658 20 57914 21 58170 25 58427 27 58683 28 58939 29 59195 30 59452 30 59709 5 59715 23 59965 29 60223 2 60226 24 60482 24 60738 23 60994 23 61251 22 61507 21 61763 21 62020 18 62276 11 62533 10 62789 8 63048 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,63243 5 63496 11 63751 13 64006 15 64261 17 64517 18 64773 18 65029 17 65286 14
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,21009 14 21264 17 21519 19 21774 21 22030 21 22286 22 22542 22 22798 23 23054 23 23310 23 23566 23 23822 23 24078 23 24334 23 24590 23 24846 23 25102 23 25358 23 25615 21 25871 21 26128 21 26385 22 26644 19 26900 21 27156 22 27411 24 27667 25 27923 26 28179 26 28435 26 28692 26 28948 26 29205 25 29461 24 29717 24 29973 24 30229 24 30485 23 30742 22 30998 21 31253 21 31509 21 31765 20 32022 18 32279 15 32536 11
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,56349 3 56604 5 56859 6 57114 7 57369 7 57387 7 57624 8 57640 11 57877 11 57895 13 58131 13 58150 15 58386 15 58406 15 58642 15 58662 16 58898 16 58917 18 59154 17 59173 18 59410 37 59666 37 59921 39 60177 39 60433 39 60689 18 60710 18 60945 18 60966 18 61201 17 61223 16 61457 17 61479 16 61713 16 61736 15 61970 15 61992 14 62228 12 62248 14 62487 9 62504 13 62745 5 62760 12 63016 12 63272 13 63528 14 63783 16 64038 19 64293 21 64548 23 64804 23 65061 21 65318 18
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,41771 5 42024 12 42279 14 42534 15 42788 18 43043 19 43299 20 43554 21 43810 21 44067 20 44323 19 44580 18 44837 17 45094 15 45351 13 45609 10 45867 6
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,64596 7 64852 8 65107 9 65365 6
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,42330 5 42585 11 42841 12 43096 14 43352 14 43608 14 43864 15 44121 15 44377 16 44633 17 44889 18 45145 18 45401 18 45657 17 45913 17 46169 17 46187 3 46425 17 46443 7 46681 16 46699 8 46937 15 46955 9 47193 14 47210 10 47449 14 47466 11 47706 12 47721 12 47962 12 47977 12 48218 27 48475 26 48731 26 48988 25 49245 23 49502 22 49758 20 50014 20 50269 21 50525 21 50781 21 51038 20 51295 19 51551 18 51807 17 52063 10 52320 8 52576 8 52833 7 53090 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,22628 5 22881 9 23135 13 23389 16 23644 18 23899 20 24155 21 24410 22 24665 24 24921 24 25177 24 25433 25 25689 25 25945 25 26202 24 26458 24 26715 23 26971 23 27228 21 27484 21 27741 19 27997 18 28254 16 28512 13 28769 11 29027 8 29284 6 29542 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,56425 8 56679 11 56933 14 57187 18 57443 19 57697 22 57950 25 58205 26 58462 25 58718 26 58974 26 59232 24 59488 24 59744 24 60001 22 60257 22 60513 22 60770 20 61027 19 61284 17 61541 16 61798 13 62056 9 62315 3
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,33386 9 33641 14 33896 17 34151 19 34407 20 34662 21 34918 21 35174 22 35430 22 35686 23 35941 24 36197 24 36454 23 36710 23 36966 23 37223 22 37479 21 37735 20 37992 19 38249 17 38505 16 38762 14 39019 12 39277 7
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,62596 7 62851 9 63106 13 63361 14 63617 16 63873 17 64128 19 64384 19 64639 20 64896 19 65152 18 65409 15
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,45959 7 46214 16 46469 19 46491 4 46724 28 46979 30 47235 30 47491 30 47747 30 48003 30 48259 30 48515 30 48770 31 49026 32 49282 33 49539 32 49795 33 50051 33 50308 32 50564 33 50821 32 51078 31 51336 3 51340 25 51598 23 51855 22 52112 21 52369 20 52627 18 52886 13 53144 10 53403 4
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,20621 7 20875 11 21130 14 21385 16 21640 18 21895 20 22151 21 22406 23 22662 23 22918 23 23174 24 23430 24 23687 23 23943 23 24199 23 24455 23 24709 25 24964 25 25219 26 25475 25 25731 24 25987 23 26243 22 26499 20 26756 18 27013 11 27027 1 27270 8 27527 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,38032 2 38283 24 38537 29 38792 32 39048 33 39087 8 39303 37 39341 13 39559 54 39815 55 40071 56 40327 35 40363 20 40583 34 40620 19 40839 34 40877 19 41095 33 41134 17 41352 32 41390 17 41608 33 41645 18 41864 33 41900 19 42121 31 42156 19 42377 31 42412 18 42633 31 42668 18 42890 29 42924 17 43147 28 43180 17 43404 26 43437 16 43662 22 43693 15 43919 20 43951 12 44179 12 44215 1 44440 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,58003 4 58257 8 58511 12 58767 13 59022 15 59278 16 59533 17 59789 18 60045 18 60301 18 60557 18 60813 17 61069 17 61325 17 61581 17 61838 15 62095 14 62352 12 62615 2
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,30627 4 30881 8 31136 10 31391 13 31647 14 31902 16 32157 18 32413 20 32669 20 32925 21 33181 22 33437 23 33693 24 33949 25 34206 24 34463 22 34719 20 34975 17 35232 16 35489 14 35745 14 36005 8 36263 5
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808,54438 7 54693 10 54948 12 55203 14 55459 14 55715 15 55971 15 56226 17 56482 17 56738 17 56995 16 57251 16 57507 16 57764 14 58020 14 58276 13 58532 13 58789 13 59045 15 59301 16 59557 17 59813 17 60069 18 60326 17 60582 17 60838 17 61094 17 61351 16 61607 16 61864 15 62121 14 62378 12 62635 10 62892 9
